Date,MXN_Close,GSPC_Close,IXIC_Close,MXX_Close,MXN_High,GSPC_High,IXIC_High,MXX_High,MXN_Low,GSPC_Low,IXIC_Low,MXX_Low,MXN_Open,GSPC_Open,IXIC_Open,MXX_Open,MXN_Volume,GSPC_Volume,IXIC_Volume,MXX_Volume
2015-01-01,14.752790451049805,,,,14.75790023803711,,,,14.68000030517578,,,,14.732159614562988,,,,0.0,,,
2015-01-02,14.820429801940918,2058.199951171875,4726.81005859375,42115.46875,14.86299991607666,2072.360107421875,4777.009765625,43325.4296875,14.752790451049805,2046.0400390625,4698.10986328125,41989.6484375,14.752790451049805,2058.89990234375,4760.240234375,43146.51953125,0.0,2708700000.0,1435150000.0,111168800.0
2015-01-05,14.939419746398926,2020.5799560546875,4652.56982421875,41099.37109375,14.982500076293944,2054.43994140625,4702.77001953125,42147.9609375,14.824959754943848,2017.3399658203125,4641.4599609375,40824.9296875,14.843600273132324,2054.43994140625,4700.33984375,42134.66015625,0.0,3799120000.0,1794470000.0,219712500.0
2015-01-06,14.89466953277588,2002.6099853515625,4592.740234375,41329.41015625,14.989669799804688,2030.25,4667.330078125,41456.62109375,14.817999839782717,1992.43994140625,4567.58984375,40723.66015625,14.937840461730955,2022.1500244140625,4666.85009765625,41101.01171875,0.0,4460110000.0,2167320000.0,212475500.0
2015-01-07,14.710200309753418,2025.9000244140625,4650.47021484375,41813.9296875,14.913800239562988,2029.6099853515625,4652.72021484375,41963.94921875,14.697790145874023,2005.550048828125,4613.89990234375,41331.12109375,14.894689559936523,2005.550048828125,4626.83984375,41331.12109375,0.0,3805480000.0,1957950000.0,184571000.0
2015-01-08,14.661700248718262,2062.139892578125,4736.18994140625,42402.30859375,14.739399909973145,2064.080078125,4741.3798828125,42554.41015625,14.598799705505373,2030.6099853515625,4688.02001953125,41814.2109375,14.709620475769045,2030.6099853515625,4689.5400390625,41819.0390625,0.0,3934010000.0,2105450000.0,193292300.0
2015-01-09,14.593879699707031,2044.81005859375,4704.06982421875,42382.41015625,14.704899787902832,2064.429931640625,4744.7099609375,42504.41015625,14.552000045776367,2038.3299560546875,4681.240234375,41940.48828125,14.659000396728516,2063.449951171875,4744.47021484375,42393.171875,0.0,3364140000.0,1715830000.0,151921000.0
2015-01-12,14.64799976348877,2028.260009765625,4664.7099609375,41780.78125,14.673319816589355,2049.300048828125,4715.81005859375,42408.6484375,14.560400009155272,2022.5799560546875,4650.64990234375,41773.37890625,14.570759773254396,2046.1300048828125,4714.06982421875,42373.80859375,0.0,3456460000.0,1861960000.0,175242100.0
2015-01-13,14.604000091552734,2023.030029296875,4661.5,41478.26171875,14.675789833068848,2056.929931640625,4751.33984375,42211.08984375,14.538999557495115,2008.25,4624.27978515625,41313.3515625,14.64900016784668,2031.5799560546875,4708.740234375,41781.0390625,0.0,4107300000.0,2162180000.0,190474300.0
2015-01-14,14.485199928283691,2011.27001953125,4639.31982421875,40984.21875,14.706379890441896,2018.4000244140625,4655.3701171875,41479.78125,14.477230072021484,1988.43994140625,4595.97998046875,40907.48046875,14.604999542236328,2018.4000244140625,4610.759765625,41478.37890625,0.0,4378680000.0,2073810000.0,309314400.0
2015-01-15,14.656999588012695,1992.6700439453125,4570.81982421875,40998.76953125,14.679490089416504,2021.3499755859373,4663.9599609375,41260.4609375,14.43560028076172,1991.469970703125,4567.39013671875,40817.87109375,14.48550033569336,2013.75,4657.4599609375,40991.48046875,0.0,4276720000.0,1976260000.0,234733800.0
2015-01-16,14.54778003692627,2019.4200439453125,4634.3798828125,41402.01171875,14.69629955291748,2020.4599609375,4635.81982421875,41402.078125,14.54778003692627,1988.1199951171875,4563.10986328125,40859.69140625,14.656869888305664,1992.25,4566.3798828125,40999.05859375,0.0,4056410000.0,1970520000.0,192275600.0
2015-01-19,14.635459899902344,,,41285.578125,14.669099807739258,,,41566.9296875,14.55720043182373,,,41210.05859375,14.562439918518066,,,41412.1796875,0.0,,,46253900.0
